"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-05-31,93440,"80514","CO","Greeley","Weld County","Dacono",11076,308300,-0.00740502253702511,-0.01344,0.0693721817551162,0.131128271676519,0.0873810733276446,"2019-03","2019-Q1",312700,-0.0140709945634794,"2018-12"
2019-05-31,98914,"96779","HI","Kahului-Wailuku-Lahaina","Maui County","Paia",11077,803800,-0.0260511329213619,-0.016156670746634,0.0529211422583181,0.0704105838841194,0.0455647819635059,"2019-03","2019-Q1",834700,-0.037019288367078,"2018-09"
2019-05-31,60222,"06248","CT","Hartford-West Hartford-East Hartford","Tolland County","Hebron",11078,275500,0.00291226792864944,-0.000362844702467344,0.00731261425959781,0.0125067112453874,-0.00556108314749193,"2007-06","2007-Q2",316500,-0.129541864139021,"2004-07"
2019-05-31,59143,"03470","NH","Keene","Cheshire County","Winchester",11079,164900,-0.00362537764350453,-0.0107978404319136,0.0061012812690665,0.0302089429404107,0.0101908691568238,"2006-10","2006-Q4",169700,-0.028285209192693,"2005-08"
2019-05-31,71206,"30563","GA","Cornelia","Habersham County","Mount Airy",11080,142000,0.0078069552874379,0.00923951670220327,0.0708898944193062,0.0552897533286654,0.0106708612899711,"2019-05","2019-Q2",142000,0,"2019-05"
2019-05-31,67959,"24066","VA","Roanoke","Botetourt County","Buchanan",11081,134600,0.00223380491437081,0.000743494423791822,0.0846091861402095,0.0321552032223826,0.0112111677778624,"2019-05","2019-Q2",134600,0,"2019-05"
2019-05-31,95637,"88352","NM","Alamogordo","Otero County","Tularosa",11082,100500,0.0029940119760479,0.00701402805611222,0.0634920634920635,0.0119596974938365,0.0162954815342056,"2005-03","2005-Q1",109300,-0.080512351326624,"2004-10"
2019-05-31,90600,"74954","OK","Fort Smith","Sequoyah County","Roland",11083,95600,-0.00829875518672199,-0.010351966873706,0.00737618545837724,0.0339555628530561,0.0102868719897184,"2019-03","2019-Q1",97000,-0.0144329896907217,"2018-10"
2019-05-31,63614,"14572","NY","Corning","Steuben County","Wayland",11084,88100,0.0080091533180778,-0.00113378684807256,-0.0254424778761062,0.00885712786147375,0.00818907713069716,"2018-08","2018-Q3",90700,-0.0286659316427784,"2018-03"
2019-05-31,66573,"20714","MD","Washington-Arlington-Alexandria","Calvert County","North Beach",11085,281900,-0.00704473406128919,-0.0146801817546313,-0.000354609929078014,0.0463085008194601,0.0122436230802787,"2006-09","2006-Q3",309000,-0.0877022653721683,"2005-05"
2019-05-31,91348,"76272","TX","Gainesville","Cooke County","Valley View",11086,185300,0.000539956803455724,-0.0064343163538874,0.0938606847697757,0.0859408524069738,0.0474123416646723,"2019-02","2019-Q1",186500,-0.0064343163538874,"2019-02"
2019-05-31,64410,"16025","PA","Pittsburgh","Butler County","Donegal",11087,154800,0.00194174757281553,0.0045425048669695,-0.025802391441158,0.0239851338730157,0.0219397484362085,"2018-07","2018-Q3",159900,-0.0318949343339587,"2017-04"
2019-05-31,59894,"05450","VT","Burlington-South Burlington","Franklin County","Enosburg Falls",11088,174700,0.00172018348623853,0.00114613180515759,0.0473621103117506,0.0250124059775596,0.0223167511349669,"2019-05","2019-Q2",174700,0,"2019-05"
2019-05-31,63919,"15135","PA","Pittsburgh","Allegheny County","Elizabeth",11089,129400,0.00232378001549187,0.0133124510571652,0.106928999144568,0.0545921173594985,0.0218958977324493,"2019-05","2019-Q2",129400,0,"2019-05"
