"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-05-31,422874,"South Meadows Crossing","TX","Dallas-Fort Worth-Arlington","Tarrant County","Fort Worth",4584,160700,0.004375,0.0031210986267166,0.115197779319917,0.130315138845023,0.0620704373689824,"2019-05","2019-Q2",160700,0,"2019-05"
2019-05-31,274029,"Hillview","AL","Mobile","Mobile County","Theodore",4585,104800,-0.0178069353327085,-0.0367647058823529,0.0704800817160368,0.0578813477075693,0.015679960760592,"2007-09","2007-Q3",110500,-0.0515837104072398,"2007-03"
2019-05-31,417955,"Sunland Springs Village","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Mesa",4586,330500,0.000605510142294883,0.00885225885225885,0.085742444152431,0.0456395525912732,0.0336394467172858,"2019-05","2019-Q2",330500,0,"2019-05"
2019-05-31,274773,"Northeast Garland","TX","Dallas-Fort Worth-Arlington","Dallas County","Garland",4587,211400,-0.0144522144522145,-0.0280459770114943,0.0813299232736573,0.1115202728272,0.0574695440613027,"2019-02","2019-Q1",217500,-0.0280459770114943,"2019-01"
2019-05-31,763417,"Larrymore Lawns","VA","Virginia Beach-Norfolk-Newport News","Norfolk City","Norfolk",4588,210400,-0.00331596399810516,-0.014519906323185,-0.00661000944287063,0.0175194078333276,-0.00136797792536836,"2006-08","2006-Q3",230900,-0.0887830229536596,"2005-12"
2019-05-31,229847,"Spring Creek","MO","Springfield","Greene County","Springfield",4589,251400,0.000796178343949045,-0.000397614314115308,0.0706984667802385,0.0393293562024497,0.0211123070369577,"2019-02","2019-Q1",251500,-0.000397614314115308,"2019-01"
2019-05-31,268329,"Natomas Crossing","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County","Sacramento",4590,388700,-0.00179763739085773,-0.000257201646090535,0.0468623754376515,0.0829160903403499,0.0568995215914598,"2005-06","2005-Q2",445800,-0.128084342754598,"2004-10"
2019-05-31,30685,"Cabrillo","CA","Oxnard-Thousand Oaks-Ventura","Ventura County","Oxnard",4591,641000,-0.00140208755257828,0.0108815644220155,0.0388978930307942,0.059687135832847,0.0438068797458406,"2006-07","2006-Q3",696200,-0.0792875610456765,"2005-02"
2019-05-31,762494,"The Lakes","WA","Seattle-Tacoma-Bellevue","King County","Kent",4592,284900,-0.00938803894297636,-0.0145278450363196,0.01171875,0.115158197577589,0.0264683964910004,"2019-01","2019-Q1",289900,-0.017247326664367,"2018-07"
2019-05-31,271528,"Park Village","TX","San Antonio-New Braunfels","Bexar County","San Antonio",4593,122900,-0.00243506493506494,-0.0016246953696182,0.145386766076421,0.0977400288975547,0.0530398121723501,"2019-03","2019-Q1",123600,-0.00566343042071197,"2019-02"
2019-05-31,761596,"Scenic Heights","CO","Denver-Aurora-Lakewood","Jefferson County","Arvada",4594,456900,-0.00479198431714224,-0.000218818380743982,0.0554400554400554,0.100854190929303,0.0694784319653612,"2019-03","2019-Q1",459500,-0.00565832426550598,"2019-02"
2019-05-31,762258,"Heatheridge","UT","Provo-Orem","Utah County","Orem",4595,438400,-0.00657149331520508,-0.00227583067819754,0.126123811970203,0.0804114308442185,0.0337396699379628,"2019-03","2019-Q1",443100,-0.0106070864364703,"2019-02"
2019-05-31,764272,"Villa Capri","WI","Chicago-Naperville-Elgin","Kenosha County","Kenosha",4596,164700,-0.00902527075812274,0,0.146935933147632,0.0792156023191535,0.01689063624978,"2019-03","2019-Q1",166500,-0.0108108108108108,"2019-02"
2019-05-31,256657,"Lake","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",4597,2297000,-0.00841787178933736,-0.0293272481406356,-0.0398361409522217,0.0277086086598974,0.0247440311250453,"2016-12","2016-Q4",2568900,-0.105842967807233,"2015-11"
2019-05-31,242534,"Claremont","VA","Washington-Arlington-Alexandria","Arlington County","Arlington",4598,577500,-0.00121065375302663,-0.0131578947368421,-0.0507889546351085,0.0210796774945969,0.0284581704720335,"2018-04","2018-Q2",612400,-0.0569888961463096,"2017-08"
2019-05-31,415899,"East Beechwold","OH","Columbus","Franklin County","Columbus",4599,238800,-0.0111801242236025,-0.0164744645799012,0.0157379838366652,0.0851542586929428,0.0464172111148566,"2019-03","2019-Q1",243800,-0.0205086136177194,"2018-10"
2019-05-31,414745,"Windsor","UT","Provo-Orem","Utah County","Orem",4600,360300,-0.0063430777716492,-0.00193905817174515,0.136593059936909,0.0970907374506864,0.0428213646690734,"2019-03","2019-Q1",363400,-0.0085305448541552,"2019-02"
2019-05-31,117205,"Paradise Park","GA","Savannah","Chatham County","Savannah",4601,117800,-0.00169491525423729,0.0324276950043821,0.0461811722912966,0.0347589903470562,0.00214738673371961,"2006-11","2006-Q4",135300,-0.129342202512934,"2005-07"
2019-05-31,150214,"Twin Oaks","KY","Lexington-Fayette","Fayette County","Lexington",4602,183000,0,0,0.0726846424384525,0.0668727460167791,0.0321958152974975,"2019-03","2019-Q1",183300,-0.0016366612111293,"2019-02"
2019-05-31,276482,"Northeast Heights","KS","Wichita","Sedgwick County","Wichita",4603,128200,-0.0062015503875969,-0.0115651503469545,0.0305466237942122,0.0409323540455471,0.0171056725432255,"2019-03","2019-Q1",129700,-0.0115651503469545,"2018-10"
2019-05-31,273317,"Collingwood","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",4604,322000,-0.0101444820166001,-0.0333233263284299,0.0304,0.128030161038961,0.0663364300054177,"2019-02","2019-Q1",333100,-0.0333233263284299,"2018-10"
2019-05-31,761482,"Vinegar Hill","IL","Springfield","Sangamon County","Springfield",4605,58000,-0.0301003344481605,-0.119878603945372,-0.152046783625731,-0.00642596353372737,-0.00696681734061355,"2018-07","2018-Q3",70500,-0.177304964539007,"2017-04"
2019-05-31,403496,"East Corner","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",4606,331100,0.00242204056917953,0.0298600311041991,0.14054426455391,0.10763325760011,0.0600484647431265,"2019-05","2019-Q2",331100,0,"2019-05"
2019-05-31,247700,"Stratford Hills","VA","Richmond","Richmond City","Richmond",4607,288800,-0.00619408121128699,0,0.0407207207207207,0.0556417022964864,0.0241002994237336,"2019-03","2019-Q1",290900,-0.00721897559298728,"2019-02"
2019-05-31,764137,"North End","IA","Dubuque","Dubuque County","Dubuque",4608,80500,-0.0289505428226779,-0.0507075471698113,0.00124378109452736,0.0234234053999871,0.00458561268141366,"2019-03","2019-Q1",85300,-0.0562719812426729,"2019-01"
2019-05-31,260910,"Old Town","FL","Key West","Monroe County","Key West",4609,736900,-0.0152345316049713,-0.0823163138231631,-0.0378639509074292,0.089924655848068,0.0571024688990149,"2005-11","2005-Q4",829200,-0.111312108055958,"2005-03"
